#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
       1e+06           70        11.04   0.00440683     0.076202      1.5e+30       206000  0.000335809   1.22173
       1e+06           75        11.04   0.00391287    0.0706416      1.5e+30       206000  0.000276411     1.309
       1e+06           80        11.04   0.00410471    0.0765225      1.5e+30       206000  0.000314102   1.39626
       1e+06           85        11.04   0.00364997    0.0765539      1.5e+30       206000  0.000279419   1.48353
       1e+06           90        11.04   0.00291052    0.0747413      1.5e+30       206000  0.000217536    1.5708
       1e+06           10       11.592    0.0104876    0.0497624      1.5e+30       206000  0.000521887  0.174533
       1e+06           15       11.592    0.0103866    0.0491498      1.5e+30       206000    0.0005105  0.261799
       1e+06           20       11.592    0.0101914    0.0478755      1.5e+30       206000   0.00048792  0.349066
       1e+06           25       11.592   0.00991564    0.0485458      1.5e+30       206000  0.000481363  0.436332
       1e+06           30       11.592   0.00871271    0.0484522      1.5e+30       206000   0.00042215  0.523599
       1e+06           35       11.592   0.00884965    0.0465712      1.5e+30       206000  0.000412139  0.610865
       1e+06           40       11.592   0.00754156    0.0459362      1.5e+30       206000  0.000346431  0.698132
       1e+06           45       11.592   0.00758873    0.0466796      1.5e+30       206000  0.000354239  0.785398
       1e+06            5       11.592     0.011012    0.0384266      1.5e+30       206000  0.000423153  0.0872665
       1e+06           50       11.592   0.00642153    0.0455114      1.5e+30       206000  0.000292253  0.872665
       1e+06           55       11.592   0.00614846     0.045339      1.5e+30       206000  0.000278765  0.959931
       1e+06           60       11.592   0.00521444    0.0470189      1.5e+30       206000  0.000245177    1.0472
       1e+06           65       11.592   0.00504856    0.0465114      1.5e+30       206000  0.000234815   1.13446
       1e+06           70       11.592   0.00420227    0.0480676      1.5e+30       206000  0.000201993   1.22173
       1e+06           75       11.592   0.00372695    0.0448092      1.5e+30       206000  0.000167001     1.309
       1e+06           80       11.592   0.00388098    0.0482942      1.5e+30       206000  0.000187429   1.39626
       1e+06           85       11.592   0.00342798    0.0483645      1.5e+30       206000  0.000165793   1.48353
       1e+06           90       11.592   0.00272072    0.0473312      1.5e+30       206000  0.000128775    1.5708
       1e+06           10        12.42    0.0101404   0.00420857      1.5e+30       206000  4.26765e-05  0.174533
       1e+06           15        12.42   0.00999596   0.00417579      1.5e+30       206000  4.17411e-05  0.261799
       1e+06           20        12.42    0.0097184   0.00407697      1.5e+30       206000  3.96216e-05  0.349066
       1e+06           25        12.42   0.00932997   0.00413833      1.5e+30       206000  3.86105e-05  0.436332
       1e+06           30        12.42    0.0081028   0.00413473      1.5e+30       206000  3.35028e-05  0.523599
       1e+06           35        12.42   0.00815744   0.00397806      1.5e+30       206000  3.24508e-05  0.610865
       1e+06           40        12.42   0.00693252   0.00392771      1.5e+30       206000  2.72289e-05  0.698132
       1e+06           45        12.42   0.00697047   0.00399401      1.5e+30       206000  2.78401e-05  0.785398
       1e+06            5        12.42    0.0106474   0.00329165      1.5e+30       206000  3.50476e-05  0.0872665
       1e+06           50        12.42   0.00589493   0.00390142      1.5e+30       206000  2.29986e-05  0.872665
       1e+06           55        12.42   0.00564961   0.00388716      1.5e+30       206000  2.19609e-05  0.959931
       1e+06           60        12.42   0.00480273   0.00403213      1.5e+30       206000  1.93653e-05    1.0472
       1e+06           65        12.42   0.00466426   0.00398596      1.5e+30       206000  1.85915e-05   1.13446
       1e+06           70        12.42    0.0038919   0.00411547      1.5e+30       206000   1.6017e-05   1.22173
       1e+06           75        12.42   0.00344615   0.00386129      1.5e+30       206000  1.33066e-05     1.309
       1e+06           80        12.42   0.00356295   0.00413631      1.5e+30       206000  1.47375e-05   1.39626
       1e+06           85        12.42    0.0031269    0.0041471      1.5e+30       206000  1.29676e-05   1.48353
       1e+06           90        12.42   0.00247108   0.00407161      1.5e+30       206000  1.00613e-05    1.5708
       1e+06           10       12.972   0.00935012   -0.0246382      1.5e+30       206000  -0.00023037  0.174533
       1e+06           15       12.972   0.00924188   -0.0243526      1.5e+30       206000 -0.000225064  0.261799
       1e+06           20       12.972   0.00903315   -0.0237641      1.5e+30       206000 -0.000214665  0.349066
       1e+06           25       12.972   0.00873942   -0.0242238      1.5e+30       206000 -0.000211702  0.436332
       1e+06           30       12.972   0.00764149   -0.0241841      1.5e+30       206000 -0.000184803  0.523599
       1e+06           35       12.972   0.00772974   -0.0233006      1.5e+30       206000 -0.000180107  0.610865
       1e+06           40       12.972   0.00657417   -0.0230366      1.5e+30       206000 -0.000151447  0.698132
       1e+06           45       12.972   0.00660693   -0.0234389      1.5e+30       206000 -0.000154859  0.785398
       1e+06            5       12.972   0.00981763   -0.0193335      1.5e+30       206000 -0.000189809  0.0872665
       1e+06           50       12.972   0.00558543   -0.0229251      1.5e+30       206000 -0.000128046  0.872665
       1e+06           55       12.972   0.00535619   -0.0228399      1.5e+30       206000 -0.000122335  0.959931
       1e+06           60       12.972   0.00456011   -0.0236842      1.5e+30       206000 -0.000108003    1.0472
       1e+06           65       12.972   0.00443721   -0.0234215      1.5e+30       206000 -0.000103926   1.13446
       1e+06           70       12.972   0.00370817   -0.0241689      1.5e+30       206000 -8.96223e-05   1.22173
       1e+06           75       12.972   0.00328016   -0.0227673      1.5e+30       206000 -7.46803e-05     1.309
       1e+06           80       12.972   0.00337605   -0.0242915      1.5e+30       206000 -8.20093e-05   1.39626
       1e+06           85       12.972    0.0029509   -0.0243714      1.5e+30       206000 -7.19178e-05   1.48353
       1e+06           90       12.972   0.00232592    -0.023969      1.5e+30       206000 -5.57501e-05    1.5708
       1e+06           10         13.8   0.00858657    -0.063102      1.5e+30       206000  -0.00054183  0.174533
       1e+06           15         13.8   0.00849825   -0.0622387      1.5e+30       206000  -0.00052892  0.261799
       1e+06           20         13.8   0.00832765   -0.0606962      1.5e+30       206000 -0.000505456  0.349066
       1e+06           25         13.8   0.00808693   -0.0618622      1.5e+30       206000 -0.000500275  0.436332
       1e+06           30         13.8   0.00709407   -0.0619906      1.5e+30       206000 -0.000439766  0.523599
       1e+06           35         13.8   0.00719077   -0.0597097      1.5e+30       206000 -0.000429359  0.610865
       1e+06           40         13.8   0.00611497   -0.0591307      1.5e+30       206000 -0.000361583  0.698132
       1e+06           45         13.8   0.00614045   -0.0601426      1.5e+30       206000 -0.000369303  0.785398
       1e+06            5         13.8    0.0090159   -0.0497162      1.5e+30       206000 -0.000448236  0.0872665
       1e+06           50         13.8   0.00518761   -0.0589329      1.5e+30       206000 -0.000305721  0.872665
       1e+06           55         13.8   0.00497692   -0.0587309      1.5e+30       206000 -0.000292299  0.959931
       1e+06           60         13.8   0.00424363   -0.0609075      1.5e+30       206000 -0.000258469    1.0472
       1e+06           65         13.8   0.00413755   -0.0602406      1.5e+30       206000 -0.000249248   1.13446
       1e+06           70         13.8   0.00346307   -0.0620801      1.5e+30       206000 -0.000214987   1.22173
       1e+06           75         13.8   0.00305791   -0.0588244      1.5e+30       206000  -0.00017988     1.309
       1e+06           80         13.8   0.00312692   -0.0624131      1.5e+30       206000 -0.000195161   1.39626
       1e+06           85         13.8   0.00271745   -0.0626778      1.5e+30       206000 -0.000170324   1.48353
       1e+06           90         13.8   0.00213397   -0.0617893      1.5e+30       206000 -0.000131856    1.5708
