#   Radius[cm]     Phi[deg]   Energy[keV]     I          Q/I        mu[Gcm3]      Mass[cm]        Q      Phi[rad]
     1.2e+06           60        9.315    0.0107782    -0.144773   1.0935e+30       206000  -0.00156039    1.0472
     1.2e+06           65        9.315   0.00990026    -0.145001   1.0935e+30       206000  -0.00143555   1.13446
     1.2e+06           70        9.315   0.00835474    -0.145908   1.0935e+30       206000  -0.00121902   1.22173
     1.2e+06           75        9.315   0.00747417    -0.145393   1.0935e+30       206000  -0.00108669     1.309
     1.2e+06           80        9.315   0.00726906    -0.145606   1.0935e+30       206000  -0.00105842   1.39626
     1.2e+06           85        9.315   0.00587779    -0.145948   1.0935e+30       206000 -0.000857854   1.48353
     1.2e+06           90        9.315   0.00343332    -0.145568   1.0935e+30       206000  -0.00049978    1.5708
     1.2e+06           10         4.14    0.0247469    0.0202237   1.0935e+30       206000  0.000500474  0.174533
     1.2e+06           15         4.14    0.0244342    0.0334921   1.0935e+30       206000  0.000818352  0.261799
     1.2e+06           20         4.14     0.022465    0.0373773   1.0935e+30       206000   0.00083968  0.349066
     1.2e+06           25         4.14    0.0252287    0.0385345   1.0935e+30       206000  0.000972176  0.436332
     1.2e+06           30         4.14    0.0241263      0.03972   1.0935e+30       206000  0.000958295  0.523599
     1.2e+06           35         4.14    0.0253852    0.0401812   1.0935e+30       206000   0.00102001  0.610865
     1.2e+06           40         4.14    0.0229626    0.0406462   1.0935e+30       206000  0.000933342  0.698132
     1.2e+06           45         4.14     0.020643    0.0407873   1.0935e+30       206000  0.000841973  0.785398
     1.2e+06            5         4.14    0.0236529   0.00594659   1.0935e+30       206000  0.000140654  0.0872665
     1.2e+06           50         4.14    0.0185531    0.0410063   1.0935e+30       206000  0.000760795  0.872665
     1.2e+06           55         4.14    0.0178122    0.0411387   1.0935e+30       206000  0.000732771  0.959931
     1.2e+06           60         4.14    0.0161326    0.0410914   1.0935e+30       206000  0.000662912    1.0472
     1.2e+06           65         4.14    0.0146319    0.0411579   1.0935e+30       206000   0.00060222   1.13446
     1.2e+06           70         4.14    0.0121825     0.041414   1.0935e+30       206000  0.000504527   1.22173
     1.2e+06           75         4.14     0.010757    0.0412676   1.0935e+30       206000  0.000443915     1.309
     1.2e+06           80         4.14    0.0103473     0.041329   1.0935e+30       206000  0.000427645   1.39626
     1.2e+06           85         4.14   0.00835252     0.041428   1.0935e+30       206000  0.000346028   1.48353
     1.2e+06           90         4.14   0.00491871     0.041316   1.0935e+30       206000  0.000203221    1.5708
